state,action_0,action_1,action_2,action_3
0,0.0,-0.11869942051256217,0.0,0.1952536135434042
1,0.0,-1.0,-0.007007629040662032,0.29786662529119284
2,0.0,0.4220988261842302,-0.3259712496118443,-1.0
3,0.0,0.0,0.0,0.0
4,0.06281973307121523,-0.04382004302900731,0.0,-1.0
5,0.0,0.0,0.0,0.0
6,-0.8,0.5280780487804881,-1.0,0.5850150312925058
7,-1.0,0.7840272435449901,-0.2621440000000001,0.0
8,-0.024110257493333346,-0.1968139728579825,0.0,-0.5333333333333333
9,-1.0,-1.0,0.01781981931110401,-0.8
10,0.5120000000000001,-1.0,0.011728124029610676,0.7935135135135125
11,-0.8,1.0,-0.8000000000000002,0.0
12,-0.054613333333333354,0.0,0.0,-1.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
