gamma,epsilon,first_goal_episode,success_rate,final_reward,final_steps
0.8,0.05,137,0.719,0.32768000000000014,6
0.8,0.1,38,0.862,0.13421772800000006,10
0.8,0.15,33,0.8105,0.2621440000000001,7
0.8,0.2,43,0.7215,0.32768000000000014,6
0.9,0.05,-1,0.0,0.0,40
0.9,0.1,-1,0.0,0.0,40
0.9,0.15,27,0.77,0.5314410000000002,7
0.9,0.2,245,0.433,0.47829690000000014,8
0.95,0.05,-1,0.0,0.0,40
0.95,0.1,617,0.3845,0.7737809374999999,6
0.95,0.15,1798,0.003,0.0,40
0.95,0.2,42,0.748,0.7737809374999999,6
0.99,0.05,362,0.719,0.9509900498999999,6
0.99,0.1,60,0.803,0.9509900498999999,6
0.99,0.15,3,0.8335,-0.9702989999999999,4
0.99,0.2,1,0.7995,0.9320653479069899,8
