learning_rate,gamma,epsilon,first_goal_episode,success_rate,final_reward,final_steps
0.05,0.8,0.05,12,0.9405,1,7
0.05,0.8,0.1,98,0.79,1,7
0.05,0.8,0.15,25,0.7935,1,6
0.05,0.8,0.2,13,0.766,1,6
0.05,0.9,0.05,10,0.94,1,6
0.05,0.9,0.1,9,0.8565,1,11
0.05,0.9,0.15,15,0.8025,1,6
0.05,0.9,0.2,56,0.731,1,8
0.05,0.95,0.05,11,0.84,1,6
0.05,0.95,0.1,13,0.8705,1,6
0.05,0.95,0.15,30,0.803,1,7
0.05,0.95,0.2,25,0.7465,-1,2
0.05,0.99,0.05,25,0.8795,1,8
0.05,0.99,0.1,6,0.868,1,6
0.05,0.99,0.15,32,0.7835,1,6
0.05,0.99,0.2,22,0.739,-1,4
0.1,0.8,0.05,11,0.714,-1,5
0.1,0.8,0.1,9,0.8955,1,6
0.1,0.8,0.15,12,0.841,1,6
0.1,0.8,0.2,24,0.768,1,13
0.1,0.9,0.05,12,0.936,1,7
0.1,0.9,0.1,7,0.88,-1,2
0.1,0.9,0.15,15,0.8005,1,8
0.1,0.9,0.2,3,0.7505,-1,6
0.1,0.95,0.05,11,0.9355,1,6
0.1,0.95,0.1,9,0.8935,1,6
0.1,0.95,0.15,12,0.814,1,23
0.1,0.95,0.2,15,0.7585,-1,10
0.1,0.99,0.05,8,0.92,1,8
0.1,0.99,0.1,9,0.8115,0,40
0.1,0.99,0.15,11,0.7775,1,6
0.1,0.99,0.2,13,0.7245,0,40
0.2,0.8,0.05,9,0.928,1,6
0.2,0.8,0.1,3,0.8815,1,8
0.2,0.8,0.15,3,0.805,1,8
0.2,0.8,0.2,33,0.7065,1,6
0.2,0.9,0.05,9,0.908,1,8
0.2,0.9,0.1,15,0.737,1,6
0.2,0.9,0.15,23,0.776,1,6
0.2,0.9,0.2,20,0.7145,1,6
0.2,0.95,0.05,7,0.886,0,40
0.2,0.95,0.1,36,0.8385,1,6
0.2,0.95,0.15,11,0.757,1,8
0.2,0.95,0.2,13,0.689,1,6
0.2,0.99,0.05,34,0.8455,1,6
0.2,0.99,0.1,22,0.795,1,6
0.2,0.99,0.15,11,0.738,1,6
0.2,0.99,0.2,27,0.6675,-1,4
0.3,0.8,0.05,9,0.8475,0,40
0.3,0.8,0.1,14,0.831,1,6
0.3,0.8,0.15,5,0.587,1,8
0.3,0.8,0.2,38,0.538,1,10
0.3,0.9,0.05,6,0.91,1,6
0.3,0.9,0.1,10,0.775,1,9
0.3,0.9,0.15,12,0.7085,1,10
0.3,0.9,0.2,4,0.6725,-1,5
0.3,0.95,0.05,9,0.8835,1,6
0.3,0.95,0.1,3,0.765,1,8
0.3,0.95,0.15,16,0.7345,-1,2
0.3,0.95,0.2,22,0.6355,0,40
0.3,0.99,0.05,13,0.784,1,7
0.3,0.99,0.1,9,0.721,-1,2
0.3,0.99,0.15,9,0.654,1,6
0.3,0.99,0.2,17,0.6345,1,6
